,weight,CONS_Total,vatax,table_row
8285,31.064322,12676.224040336756,1747.8095387200954,1
2048,43.588688,12727.389424959707,1235.6440386443296,1
8312,51.17917,12944.842309607262,21.48946154164051,1
1092,84.79122,12944.842309607264,179.0788461803376,1
1773,42.733105,12961.343146148163,2659.840194431936,1
191,49.59935,12983.216348074477,270.40905773230986,1
8155,30.370056,13085.547117320384,859.5784616656206,1
7444,17.783812,13533.244232771227,519.3286539229791,1
1171,78.390396,13597.200963549916,5.372365385410127,1
7887,14.864314,13891.401925131904,254.29196157607944,1
1877,59.000076,14172.811540558148,290.107730812147,1
7873,21.712374,14646.091348320468,1960.913365674697,1
7823,21.951656,14965.875002213927,2059.4067310738824,1
7187,8.564315,14991.457694525401,1285.786115574824,1
7981,60.104656,15208.910579172956,1541.8688656127065,1
2180,19.719496,15272.867309951649,2138.2014233932314,1
4490,28.20857,15554.276925377893,967.025769373823,1
7139,20.65163,15605.442310000848,2023.590961837815,1
1348,114.87667,16411.297117812366,2104.176442618967,1
6356,7.7411227,16577.58461783697,2302.9539618791423,1
8284,31.064322,16590.37596399271,3051.503538912953,1
540,288.44913,16705.498079394347,1894.6541925879715,1
2729,13.560897,17242.734617935363,598.1233462423276,1
502,55.937046,17268.317310246843,1128.1967309361269,1
7905,12.384259,17639.26634876326,2064.7790964592923,1
7990,35.037315,17761.80744493523,2794.668657721113,1
7667,7.609907,18061.38077190262,444.11553852723733,1
289,55.652454,18138.12884883705,1396.8150002066332,1
1894,61.072063,18368.37307964034,1844.5121156574774,1
2948,15.618823,18534.66057966494,1441.5847117517178,1
1070,95.788826,18649.782695066584,1661.851692553533,1
740,150.4157,18649.782695066588,196.98673079837135,1
2114,64.70061,18662.574041222324,814.8087501205362,1
6290,20.221272,18675.365387378064,1325.183461734498,1
3794,101.49925,18752.1134643125,214.89461541640517,1
7939,19.531248,18854.444233558403,626.7759616311816,1
2086,42.270435,19084.688464361694,2023.590961837815,1
7564,6.4490743,19351.515945170402,2709.2122323238564,1
1174,78.390396,19570.759618279753,472.76815391609136,1
7672,4.2993827,19583.550964435486,2562.618288840631,1
7902,12.384259,19877.75192601747,2005.683077219781,1
6552,9.132086,20120.787502976505,1523.9609809946728,1
7964,20.657774,20734.77211845195,582.0062500860971,1
7998,35.037315,20913.850964632282,2892.123365812452,1
3805,29.326443,20965.01634925524,1412.9320963628638,1
182,44.88992,21156.886541591317,1554.4043848453307,1
6968,23.527565,21290.300281995664,2766.7681734862163,1
7937,19.531248,21310.38269546018,662.5917308672492,1
2167,16.414694,21476.67019548477,1710.202981022224,1
2558,26.763088,21562.628041651333,1694.0858848659936,1
2982,17.629166,21898.784618624148,1396.8150002066338,1
708,212.86377,22001.11538787005,1017.1678463043175,1
3025,21.873226,22103.446157115955,0.0,1
218,59.118416,22129.02884942743,3044.340385065739,1
3983,116.91588,22136.57574365932,3081.2127194942714,1
2494,43.399883,22141.820195583172,3081.9469427636104,1
6533,20.445454,22231.359618673334,1253.5519232623633,1
2986,17.629166,22256.94231098482,2084.4777695391303,1
1233,80.85772,22626.228474500986,4360.337101991187,1
7651,19.742064,22691.848080279917,254.29196157607936,1
3297,135.67116,22691.84808027992,340.2498077426415,1
2890,25.940062,22743.013464902877,2238.4855772542205,1
3238,79.86316,23177.91923419798,1561.567538692544,1
69,54.249287,23203.50192650946,1701.2490387132075,1
1468,126.47286,23293.041349599618,1283.995327113021,1
1519,114.54365,23305.83269575536,752.1311539574178,1
2896,25.940062,23536.07692655866,662.5917308672492,1
2152,28.826862,23638.407695804563,196.98673079837135,1
8299,38.516888,23727.947118894735,1092.3809617000597,1
4050,46.174484,23919.81731123081,2668.27480808703,1
7825,21.951656,24137.270195878365,1566.939904077955,1
829,87.6315,24210.43669588919,1523.9609809946733,1
1469,126.47286,24252.392311280004,1916.1436541296123,1
2617,99.4285,24354.723080525917,787.9469231934854,1
6486,15.979737,24354.723080525917,1362.7900194323695,1
2957,24.99478,24535.720628629617,3005.2116571753363,1
1467,126.47286,24636.13269595216,800.4824424261094,1
6006,73.425,24943.12500368988,556.93521162085,2
4284,48.66972,24994.29038831283,1916.1436541296125,2
7535,17.07108,25019.87308062431,3287.8876158709986,2
3248,49.920124,25339.65673451778,259.66432696148956,2
4224,7.3314357,25505.944234542363,4355.197539105811,2
7877,21.712374,25672.231734566965,6258.805674002799,2
7851,7.851349,25685.023080722698,931.2100001377553,2
8170,46.722412,25864.10192690305,2324.443423420783,2
8322,30.134392,25915.267311525997,3628.1374236136394,2
4259,31.134459,25966.432696148942,626.7759616311818,2
4229,7.3314357,26017.598080771902,1808.6963464214095,2
7097,25.168598,26401.33846544406,2560.827500378828,2
3269,91.7781,26606.000003935864,5064.349769979949,2
47,98.33422,26631.582696247344,1633.199077164679,2
6483,15.979737,26938.575003985075,2931.520711972127,2
62,54.249287,27015.3230809195,0.0,2
8063,44.575405,27117.653850165407,3617.3926928428195,2
141,69.68797,27130.445196321147,1808.69634642141,2
837,171.42734,27296.732696345738,3821.5425774884043,2
4185,25.30302,27360.68942712443,1026.1217886133347,2
1487,70.21323,27514.185580993297,1606.3372502376283,2
1322,126.87445,27923.50865797693,539.0273270028163,2
7705,5.4345107,28025.839427222832,4593.3724045256595,2
121,51.15682,28038.630773378572,2807.956308107694,2
1457,38.80647,28128.170196468738,3894.9649044223424,2
4480,15.671429,28153.75288878023,345.62217312805166,2
7370,3.5273938,28192.126927247435,1002.8415386098904,2
8229,21.37011,28435.16250420647,3980.9227505889066,2
3243,49.920124,28601.45000423106,1643.9438079354995,2
8189,12.541931,28703.780773476974,143.2630769442701,2
317,13.8066025,28831.69423503436,397.5550385203495,2
1613,77.291885,28908.44231196878,3993.4582698215286,2
6351,7.7411227,29061.938465837644,2091.6409233863437,2
5219,240.51949,29087.52115814912,5261.3365007783195,2
7136,20.65163,29266.600004329463,1461.2833848315552,2
6040,170.50514,29330.55673510816,1224.899307873509,2
8297,38.516888,29522.426927444238,608.868077013148,2
6026,124.206345,29650.340389001612,2797.2115773368732,2
6032,179.23029,29816.627889026215,696.6167116415135,2
4221,7.3314357,29842.21058133769,1756.763481029112,2
8003,30.57457,29944.54135058359,2351.305250347833,2
5802,367.36108,29982.915389050817,863.1600385892272,2
7467,14.310076,30136.411542919683,605.2865000895412,2
2594,38.688583,30289.90769678853,1060.1467693875989,2
7451,31.463665,30379.447119878703,4181.491058310883,2
822,87.6315,30520.151927591825,576.633884700687,2
3266,91.7781,30699.230773772157,1017.1678463043177,2
5868,248.09232,30699.23077377216,2095.2225003099497,2
1794,54.22572,30814.352889173806,3712.3044813183983,2
6491,29.237001,30827.144235329542,1393.2334232830267,2
4584,40.18963,30955.057696886935,1531.1241348418873,2
482,45.385025,30993.43173535414,1414.722884824667,2
6074,203.73329,31172.51058153448,2684.3919042432617,2
894,142.93713,31262.050004624645,436.95238468002384,2
7294,17.655386,31313.215389247598,4190.4450006199,2
627,326.54654,31441.12885080499,2252.8118849486473,2
3880,87.20996,31505.085581583673,4124.185827533175,2
1196,146.16542,31613.172456599663,4228.857413125582,2
2717,29.07668,31901.617312411578,4394.5948852654865,2
4220,7.3314357,32234.192312460764,1719.1569233312407,2
8291,38.516888,32413.27115864111,2131.0382695460175,2
3246,49.920124,32438.853850952582,3932.571462120214,2
7953,101.408806,32592.35000482144,4562.9290006750025,2
7548,18.532602,32669.098081755878,1038.6573078459583,2
2023,31.89626,32694.68077406735,0.0,2
6429,13.478595,32758.63750484604,492.4668269959285,2
2895,25.940062,32886.55096640343,3850.1951928772587,2
4254,31.134459,33040.04712027228,1617.0819810084486,2
1211,119.60596,33078.42115873951,1876.7463079699387,2
7901,12.384259,33129.58654336246,1128.1967309361273,2
7949,47.690212,33257.50000491984,1858.8384233519048,2
6328,27.396257,33257.50000491985,1371.7439617413863,2
1581,23.109745,33398.20481263296,1192.6651155610489,2
6122,239.94012,33666.823081903465,759.2943078046316,2
3544,115.414444,33858.69327423956,1015.3770578425142,2
2661,32.05303,33884.275966551024,2104.1764426189666,2
4299,19.466852,33999.39808195267,5017.78926997306,2
6947,24.063635,34242.433658911694,1982.402827216337,2
7236,11.081937,34523.84327433794,2899.286519659666,2
50,38.95181,34664.54808205107,4853.03673148715,2
7022,33.36095,34818.04423591992,143.2630769442701,2
2169,16.414694,35009.914428256,4922.877481497481,2
6518,38.846363,35048.288466723214,3359.5191543431342,2
5353,225.51529,35433.94755331873,4960.752657464623,2
963,251.97461,35508.7769283298,1629.6175002410723,2
3011,20.300251,35611.10769757572,501.4207693049452,2
7649,9.181732,35790.18654375604,5816.480923937366,2
6784,8.756352,36046.01346687082,662.5917308672491,2
6310,15.227603,36148.34423611672,1880.3278848935452,2
555,33.9339,36402.38037076968,5021.120136512015,2
7960,20.657774,36634.41539003478,1489.936000220409,2
2166,16.414694,36749.53750543643,1951.9594233656803,2
5898,242.88655,36813.49423621511,787.9469231934852,2
6159,227.04887,36928.616351616765,3622.765058228231,2
8185,12.541931,36954.199043928245,3771.400500557912,2
6341,22.14924,37056.529813174144,1720.9477117930448,2
6476,28.112497,37056.529813174144,3980.9227505889057,2
7639,23.091848,37094.90385164136,3044.3403850657396,2
4234,21.399605,37158.860582420064,1864.210788737315,2
3568,138.10083,37222.81731319875,397.55503852034946,2
4213,8.476808,37235.60865935448,4600.535558372873,2
6281,26.83466,37401.89615937909,1092.3809617000593,2
6539,20.445454,37440.2701978463,2621.7143080801425,2
1215,119.60596,37504.22692862499,161.1709615623039,2
1867,26.315783,37517.01827478073,3751.701827478073,2
7898,13.027424,37529.809620936474,2847.3536542673683,2
6690,24.096428,37772.8451978955,1301.9032117310544,2
1129,86.10694,37887.967313297144,515.7470769993722,2
7217,37.098106,38207.7509671906,4754.543366087963,2
4191,7.3679104,38220.54231334635,1593.801731005005,2
1835,51.473965,38271.70769796929,0.0,2
4205,6.1944494,38374.0384672152,4552.184269904183,2
7772,16.011494,38501.95192877258,3667.534769773315,2
259,54.15656,38681.03077495293,1253.5519232623633,2
7064,22.559658,38706.6134672644,4670.3763083832055,2
2972,8.147934,38783.36154419884,3796.471539023157,2
8336,32.808388,38808.94423651031,1629.6175002410723,2
7947,47.690212,38872.900967288995,2208.0421734035626,2
7858,7.851349,38911.27500575622,1235.6440386443296,2
7773,16.011494,39141.5192365595,3792.88996209955,2
333,162.02454,39269.4326981169,286.5261538885402,2
7957,101.408806,39397.34615967428,5443.996923882264,2
7134,20.65163,39538.05096738739,1557.9859617689374,2
3513,41.42308,39614.79904432182,1763.9266348763251,2
1352,128.37134,39627.59039047756,3312.9586543362457,2
1176,78.390396,39640.381736633295,1323.392673272695,2
7079,36.291626,39640.38173663331,2041.4988464558487,2
2728,13.560897,39704.338467412,8739.047693600474,2
7768,22.213478,39781.08654434643,755.7127308810248,2
6541,34.97718,39857.83462128086,1432.6307694427005,2
8293,38.516888,40088.078852084145,6077.936039360659,2
3201,56.280556,40267.157698264484,2901.07730812147,2
1420,128.78261,40270.867188649645,4179.7002698490805,2
4164,16.733898,40369.4884675104,7711.135116525339,2
1213,119.60596,40446.236544444815,1224.8993078735093,2
6007,73.425,40676.480775248114,1074.4730770820256,2
2794,42.31,40753.22885218254,2525.0117311427603,2
4203,6.1944494,40804.394236805485,2417.5644234345577,2
8153,30.370056,41252.09135225635,2147.155365702248,2
7932,19.531248,41559.08365999407,1198.0374809464588,2
1556,273.71152,41584.66635230555,601.7049231659345,2
6948,24.063635,41630.71519846619,2453.380192670625,2
7890,13.027424,41750.953852330145,4297.892308328102,2
7926,21.712374,41813.11979464701,3532.974924753408,2
7729,26.413164,41866.075967731784,3056.875904298363,2
4252,31.134459,41878.86731388752,2800.79315426048,2
4112,124.01294,41901.12425619851,4330.162316409799,2
821,87.6315,41993.98942928917,1369.953173279583,3
6332,70.28125,42006.78077544491,2023.590961837815,3
7219,37.098106,42160.27692931377,2363.8407695804567,3
6004,73.425,42198.65096778098,1423.6768271336837,3
3184,50.455013,42237.0250062482,318.7603462010009,3
2509,22.197142,42427.104410122476,1520.1286936864144,3
7738,20.879675,42633.55673707609,710.9430193359404,3
1891,61.072063,42659.139429387564,4557.556635289592,3
6564,34.554947,42671.9307755433,3080.156154301807,3
6569,34.554947,42710.304814010524,1360.9992309705663,3
8004,30.57457,42902.1750063466,1396.8150002066336,3
4072,105.51664,43004.5057755925,4874.52619302879,3
6348,22.14924,43106.83654483841,3868.1030774952924,3
6260,255.52666,43132.41923714989,9917.386501467096,3
5598,340.4726,43145.33849676719,4786.7954662850425,3
1199,146.16542,43205.585737160705,1482.7728463731958,3
6383,22.49,43375.4548141089,698.4075001033166,3
3286,123.47266,43401.0375064204,950.9086732175928,3
4293,19.466852,43464.99423719908,2668.27480808703,3
1257,59.44499,43464.994237199084,5390.273270028161,3
7096,25.168598,43503.3682756663,3468.7572505131393,3
503,55.937046,43541.74231413351,161.17096156230383,3
4843,213.82918,43580.11635260074,6065.400520128035,3
3502,140.36891,43874.31731418272,805.8548078115191,3
7892,13.027424,43925.48269880567,555.1444231590465,3
7742,20.637037,43989.43942958435,1049.4020386167786,3
788,147.25504,44015.02212189584,1720.9477117930442,3
8319,51.17917,44066.18750651879,2644.994558083586,3
7992,35.037315,44086.397833444855,6028.83261973801,3
493,18.757757,44130.14423729747,3993.4582698215295,3
7853,7.851349,44155.726929608965,1665.4332694771401,3
8071,33.233223,44462.719237346675,1325.183461734498,3
2031,49.549534,44488.30192965816,1070.891500158419,3
6263,255.52666,44501.093275813895,4340.8712314113845,3
956,107.31629,44513.884621969635,354.57611543706844,3
1398,148.207,44572.596900824465,5927.796334723063,3
3596,74.96866,44577.84135274832,322.3419231246078,3
8098,42.030693,44590.63269890406,1196.2466924846551,3
2770,42.055122,44782.50289124014,4330.126500640563,3
813,128.22206,45038.32981435491,619.6128077839682,3
4294,19.466852,45281.365391313935,1264.2966540331834,3
3775,100.74752,45460.444237494274,1378.9071155886,3
3287,123.47266,45652.31442983035,2623.5050965419464,3
373,55.34569,45920.93269910086,4011.366154439562,3
8188,12.541931,46048.846160658235,3531.4348466762576,3
2163,16.414694,46048.84616065824,5325.804885403241,3
2780,48.005577,46125.594237592675,4380.268577571059,3
6100,213.509,46163.96827605989,4364.151481414827,3
4282,48.66972,46227.92500683857,1497.0991540676225,3
7910,7.9536943,46803.53558384681,3991.6674813597265,3
2611,99.4285,46841.90962231402,1683.341154095174,3
7394,17.688889,46982.61443002714,4514.577712206311,3
7099,25.168598,47033.77981465009,4068.6713852172707,3
8019,57.506775,47123.31923774027,3345.192846648707,3
702,212.86377,47238.44135314192,3776.772865943321,3
6343,22.14924,47238.44135314192,2551.873558069811,3
6131,328.41,47264.02404545339,4500.251404511884,3
7979,21.691416,47353.56346854356,1729.9016541020617,3
3288,123.47266,47430.311545478005,637.5206924020019,3
4154,317.315,47448.85899740381,6427.945644220129,3
6935,4.557507,47532.6423147239,3456.221731280516,3
4750,230.34753,47781.30608399146,6644.613140213721,3
4506,24.940506,47865.217314773094,1934.051538747646,3
6349,22.14924,47967.548084019,1608.1280386994317,3
6402,4.615485,48261.749045600984,3264.607365867555,3
161,43.80128,48325.70577637967,1264.2966540331834,3
6161,575.9806,48465.131449477216,6720.65001830189,3
4173,9.430191,48504.78462256001,2653.9485003926034,3
3203,56.280556,48504.78462256002,2782.885269642447,3
5885,281.81128,48543.158661027235,462.02342314527107,3
